Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
01|Colombia|01001|Colombia|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|49,70||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
05|Antioquia|05001|Medellín|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|36,50||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
05|Antioquia|05000|Antioquia|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|47,90||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
08|Atlántico|08000|Atlántico|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|50,10||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
08|Atlántico|08001|Barranquilla|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|43,90||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
11|Bogotá|11001|Bogotá|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|31,70||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
13|Bolívar|13000|Bolívar|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|64,90||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
13|Bolívar|13001|Cartagena|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|47,50||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
15|Boyacá|15001|Tunja|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
15|Boyacá|15000|Boyacá|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|67,10||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
17|Caldas|17001|Manizales|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|36,60||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
17|Caldas|17000|Caldas|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|46,10||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18001|Florencia|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18000|Caquetá|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|53,00||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19000|Cauca|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|57,80||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19001|Popayán|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20000|Cesar|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|61,90||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20001|Valledupar|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23001|Montería|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|47,90||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
23|Córdoba|23000|Córdoba|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|65,60||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
25|Cundinamarca|25000|Cundinamarca|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|51,40||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27001|Quibdó|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
27|Chocó|27000|Chocó|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|67,60||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
41|Huila|41000|Huila|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|69,60||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
41|Huila|41001|Neiva|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
44|La Guajira|44001|Riohacha|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
44|La Guajira|44000|La Guajira|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|67,20||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
47|Magdalena|47000|Magdalena|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|65,50||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
47|Magdalena|47001|Santa Marta|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
50|Meta|50000|Meta|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|39,80||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
50|Meta|50001|Villavicencio|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|34,40||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
52|Nariño|52000|Nariño|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|65,70||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
52|Nariño|52001|Pasto|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|44,20||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
54|Norte de Santander|54001|Cúcuta|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|52,90||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
54|Norte de Santander|54000|Norte de Santander|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|56,60||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
63|Quindío|63000|Quindío|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|47,10||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
63|Quindío|63001|Armenia|Pobreza|Indicadores de pobreza|Incidencia de la pobreza monetaria|||2002|12|DANE|Porcentaje (el valor está multiplicado por 100)
